Student_ID,Year_of_Entry,TCAS_channels_,Gender,Age,Years_Living_in_BKK,Hometown REGION,Address_Type,Where_to_stay,Time_spent_for_traveling,InternetAccess_at_Home,Living_expenses_,Type_of_prior_school,Prior_School_Province REGION,School name,Math,Physics_,Chemistry_,Biology_,Family_Size,Stay_with,Family_status,Father_Education,Mother_Education,guardian,mother's_job,father's_job,Household_income,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry_,Statistics_,Computer_Programming,Thermodynamics_,Engineering_Materials_,Engineering_Drawing,University_GPAx 1st year,Scholarship : Excellent Performance,Scholarship : Financial Aid,Participation_on_Activities
20,,2,Male,18,3,BKK,Urban,Hme,52,W1fi,15000,High School,BKK,BKK3,2.75,3.25,2.25,2.5,3,Parents,Together,Doctoral,Master,Father,Business,Private,2700000,2.5,2,1.5,1.5,4,3,2.5,3,2,2,3.5,2.87,Yes,No,Medium
21,2020,2,Female,18,,BKK,Urban,Hme,44,Wifi,10000,Vocational School,BKK,BKK7,1.5,1.75,1.75,2,3,Parents,Together,Master,Master,Father,Business,Private,1220000,1.5,1.5,2,1,2.5,2,2,2,0.5,2,2.5,2.05,No,No,High
22,2020,3,Male,18,0,E,,Apartment,36,WIFI,4000,High School,E,E8,2,2.5,1.75,1.75,4,Roommates,Together,Vocational,High School,Mother,Private,Private,430000,2,2,1.5,1.5,2,1.5,2.5,1.5,1.5,1.5,2.5,2.2,No,No,No
23,2020,2,Male,18,18,BKK,Urban,Hme,87,Wifi,12000,High School,BKK,BKK5,3.5,3,3.5,2.25,4,Parents,Together,Bachelor,Bachelor,Mother,Freelance,Public,1430000,3,3,3.5,2,2.5,2.5,2.5,2.5,3,3.5,1,2.98,No,No,Low
24,2020,3,Male,18,0,E,,Home,101,Wofi,15000,Vocational School,E,E3,1.75,3.25,1.75,1.75,3,Parents,Together,Master,Master,Father,Freelance,Private,1910000,1.5,2,3.5,0.5,1.5,0.5,2.5,1.5,0,2,1.5,1.98,No,No,Medium
25,2020,2,Male,19,0,E,Rural,Apartment,83,Mobile,15000,High School,E,E5,1.5,2,1.75,1.75,5,Alone,Together,Doctoral,Doctoral,Father,Public,Freelance,650000,1.5,1,2,0.5,1,2,2.5,1.5,0.5,1.5,2.5,1.79,No,No,Medium
26,2020,2,mAlE,18,18,BKK,Urban,Apartment,81,Wifi,10000,Vocational.School,BKK,BKK4,3,3,3,2.75,3,Alone,Together,Doctoral,Doctoral,Father,Public,Private,1020000,2.5,2.5,3,1.5,2,2,2,2,2.5,2,2.5,2.35,No,No,Medium
27,2020,1,Female,,18,BKK,Urban,Home,65,Wfi,8000,Vocational School,BKK,BKK2,3,3.25,2.75,3.25,3,Mom or Dad,Apart,Master,Master,Mother,Business,Private,1000000,3,2.5,4,2,3,1,3,3,3,3.5,2,2.87,No,Yes,Low
28,2020,3,Female,,0,NE,Urban,Apartment,34,Wofi,13000,High.School,NE,NE7,3,2.75,3.5,3.5,3,Alone,Together,Bachelor,Master,Mother,Public,Public,1010000,2.5,2.5,2,1.5,2.5,1.5,2,2,1.5,2.5,2.5,2.4,No,No,High
29,2020,3,Male,19,0,S,Urban,Apartment,29,Wifi,15000,High School,S,S8,3.5,3.75,3.5,3.5,4,Alone,Together,Doctoral,Master,Father,Public,Business,3790000,3.5,4,4,2.5,2.5,3,3,3.5,3.5,3.5,3.5,3.45,Yes,No,High
30,2020,2,Female,18,0,S,,Apartment,13,W1fi,9000,High School,S,S10,2.75,2.75,2.25,2.25,4,Alone,Together,Doctoral,Doctoral,Father,Private,Freelance,1040000,2.5,2,2,1,1.5,1.5,3,2,2,2.5,2,2.4,No,No,High
31,2020,1,Female,,3,BKK,Urban,,43,Wifi,7000,Vocational School,BKK,BKK6,3.25,3.5,3,3.75,4,Alone,Together,Master,Bachelor,Father,Private,Business,870000,3,3.5,3.5,2,3,3,3.5,2.5,1,3.5,1,3.01,No,No,High
32,,1,Male,18,3,BKK,Urban,Home,28,Wifi,15000,Vocational School,BKK,BKK2,2.75,3.25,3.25,3,4,Parents,Together,Bachelor,Bachelor,Mother,Private,Business,3210000,2.5,2.5,3,1.5,2.5,3,3.5,2.5,2.5,3,1.5,2.8,No,No,Medium
33,2020,2,Female,19,0,S,Urban,Apartment,54,Mobile,6000,High School,S,S7,2.75,3,3.25,3.25,4,Alone,Together,Bachelor,Vocational,Father,Public,Business,680000,2.5,1.5,2.5,1,2,2.5,3,2.5,2,2.5,4,2.66,No,No,High
34,2020,3,,19,4,E,Urban,Apartment,19,Wifi,15000,High School,E,E1,2.5,2.5,2.75,3,3,Alone,Together,Master,Doctoral,Mother,Freelance,Private,1870000,2.5,2,2,1,1.5,2.5,3,3,2.5,2.5,4,2.68,No,No,High
35,2020,2,mAlE,18,18,BKK,Urban,Apartment,87,Mobile,87000,Vocational School,BKK,BKK6,2.25,1.75,2.5,2.75,4,Alone,Together,Bachelor,Master,Father,Business,Freelance,650000,2,0.5,0.5,1,2.5,0,2.5,2,0.5,2,3,2.02,No,No,High
36,2020,2,Male,19,19,BKK,Urban,Home,116,Wifi,8000,High School,BKK,BKK1,2.5,2.25,2,3,4,Parents,Together,Doctoral,Doctoral,Mother,Private,Private,730000,2.5,2,2.5,1.5,3,2,2,3.5,2,2.5,3,2.75,Yes,No,High
37,2020,2,Female,18,0,E,Urban,Apartment,36,Wifi,15000,High School,BKK,BKK10,3.25,3.75,3.5,3.75,3,Alone,Together,Doctoral,Doctoral,Father,Public,Private,2970000,3,2,2,2.5,3,2.5,3,2.5,2,2.5,3,2.61,No,No,Medium
38,2020,3,Female,18,18,BKK,Urban,Home,11,WIFI,6000,High School,BKK,BKK9,1.75,2.25,2,2,4,Parents,Together,Master,Master,Mother,Public,Private,740000,2,2.5,3.5,1,2,1.5,2.5,2.5,0.5,2.5,2.5,2.3,No,No,Medium
39,2020,3,Male,18,0,E,Urban,Apartment,25,Wifi,14000,High School,E,E3,1.75,2.25,1.75,1.75,3,Roommates,Together,Bachelor,Master,Father,Private,Business,1630000,1.5,1.5,2.5,1,2.5,1.5,1.5,1.5,1,1.5,2,2,No,No,Medium
40,2020,2,Female,19,0,E,Urban,Apartment,51,Mobile,9000,High School,E,E7,2.5,2.25,2.25,2.75,4,Alone,Together,Bachelor,Vocational,Father,Private,Public,710000,2,1.5,2,1,1.5,2,2.5,2.5,2,2.5,2,2.23,No,No,Medium
41,2020,2,Male,19,19,BKK,Urban,Home,14,W1fi,11000,High School,BKK,BKK3,2.5,2.25,2,2.5,3,Parents,Together,Doctoral,Doctoral,Mother,Public,Private,740000,2.5,3,3.5,1.5,3,0.5,3.5,2.5,3.5,3,3,2.72,No,No,Medium
42,2020,2,Female,19,0,S,Urban,Apartment,73,Mobile,6000,High School,S,S4,1.5,1.5,2,1.75,3,Alone,Together,Master,Bachelor,Father,Business,Freelance,710000,1.5,1,1.5,0,1,2,1,1.5,0.5,1.5,3.5,1.8,No,No,No
42,2020,2,Female,19,0,S,Urban,Apartment,73,Mobile,6000,High School,S,S4,1.5,1.5,2,1.75,3,Alone,Together,Master,Bachelor,Father,Business,Freelance,710000,1.5,1,1.5,0,1,2,1,1.5,0.5,1.5,3.5,1.8,No,No,No
42,2020,2,Female,19,0,S,Urban,,73,Mobile,6000,High School,S,S4,1.5,1.5,2,1.75,3,Alone,Together,Master,Bachelor,Father,Business,Freelance,710000,1.5,1,1.5,0,1,2,1,1.5,0.5,1.5,3.5,1.8,No,No,No
43,2020,2,Female,18,18,BKK,Urban,Home,35,Wifi,15000,Vocational School,BKK,BKK5,2.75,2.5,3,2.75,3,Parents,Together,Master,Bachelor,Father,Freelance,Business,2080000,2.5,2,2,1.5,2,1,3,3,2.5,3,0.5,2.3,No,No,High
44,,2,Female,18,0,E,Rural,Apartment,57,WIFI,12000,High School,E,E5,1.5,2,1.75,1.75,2,Alone,Apart,Bachelor,Vocational,Mother,Business,Private,1430000,1.5,2,2,1.5,3,1.5,1.5,1.5,1,1,0.5,2.04,No,No,Medium
45,2020,2,Female,18,18,BKK,Urban,Home,53,Wifi,15000,High School,BKK,BKK4,3.5,3.5,2,3.25,4,Parents,Together,Bachelor,Bachelor,Father,Private,Public,3600000,3,4,4,2,3,3.5,3.5,3,0.5,3.5,4,3.26,Yes,No,Medium
46,2020,3,,18,0,E,Rural,Apartment,35,WIFI,15000,High School,E,E2,2.5,2.75,3,1.75,3,Roommates,Together,Bachelor,Master,Father,Private,Public,2390000,2.5,2,2.5,2,4,2.5,2.5,3,2,2,1.5,2.75,No,No,Low
47,2020,2,Male,18,18,BKK,Urban,Apartment,15,Wifi,15000,Vocational School,BKK,BKK6,2.75,3.25,2.75,2.25,3,Roommates,Together,Bachelor,Bachelor,Father,Private,Business,2630000,2.5,2,3.5,1.5,3,0.5,3,2,3.5,2,2,2.72,No,No,Medium
48,2020,3,Female,19,4,NE,Urban,Apartment,66,Wifi,15000,Vocational School,NE,NE8,3.5,3.5,4,1.5,3,Alone,Together,Master,Master,Mother,Private,Freelance,2500000,3,3.5,4,2,3,3,3,3,3.5,3,3.5,3.3,Yes,No,No
49,2020,2,mAlE,,19,BKK,Urban,Home,32,Mobile,62000,Vocational School,BKK,BKK6,2,2.5,1.75,1.75,3,Parents,Together,Bachelor,Bachelor,Father,Business,Public,940000,2,2,3,1.5,3,2,2.5,2,0,2.5,2.5,2.36,No,No,Medium
50,2020,2,Female,18,18,,Urban,Home,61,Wifi,11000,High School,BKK,BKK2,2.25,1.75,2.25,1.5,4,Parents,Together,Bachelor,Vocational,Mother,Public,Business,880000,2,1,2,1.5,2,3,3,2,1.5,2,3,2.28,No,No,Medium
51,2020,,Male,18,18,BKK,Urban,Home,63,Wifi,7000,Vocational School,BKK,BKK3,2.5,2,2.75,2.5,3,Parents,Together,High School,High School,Father,Public,Freelance,440000,2,2,3,1,2,1.5,2.5,2.5,2,3,1,2.29,No,No,Medium
52,2020,,Female,18,18,BKK,Urban,Home,72,Wifi,6000,Vocational School,BKK,BKK8,2.75,2.25,3.25,2.75,3,Parents,Together,High School,Vocational,Father,Private,Freelance,500000,2.5,2,2.5,1,1.5,2,2,2.5,2,3.5,1,2.5,No,No,High
53,2020,2,Female,18,18,BKK,Urban,Home,85,Wifi,8000,Vocational School,BKK,BKK7,1.75,2.25,1.75,2.25,3,Parents,Together,Bachelor,Master,Mother,Business,Business,1010000,1.5,1.5,1,0.5,2,0,2,2.5,1.5,1,3,2.04,No,No,High
54,2020,2,Female,19,0,E,Urban,Apartment,29,Mobile,12000,High School,E,E7,1.5,1.75,1.75,1.75,3,Alone,Together,Bachelor,Bachelor,Father,Freelance,Freelance,730000,1,0,0,0,0.5,0,0.5,1,0,1.5,3,1.34,No,No,Low
55,2020,2,Female,,18,BKK,Urban,Home,54,Wifi,6000,High School,BKK,BKK2,2.75,2.25,3,3.25,3,Parents,Together,Doctoral,Master,Mother,Freelance,Private,740000,2.5,2.5,1.5,2,3,2,2,2.5,3,2,0.5,2.57,No,No,Medium
56,2020,2,Male,18,3,NE,Urban,Apartment,78,Mobile,15000,High School,NE,NE4,3.5,3.25,3,3.75,3,Alone,Together,High School,High School,Father,Public,Private,580000,2.5,2,2.5,2,3,1.5,3.5,3,2,2.5,0.5,2.43,No,No,High
57,,1,Female,18,3,BKK,Urban,Apartment,23,Wifi,15000,Vocational School,BKK,BKK1,3.5,3,4,3,4,Roommates,Together,Doctoral,Doctoral,Father,Public,Private,3470000,3,2.5,3.5,1.5,2.5,3,3.5,4,4,2.5,2.5,3.11,No,No,Low
58,2020,2,Female,18,3,S,Rural,Apartment,65,Mobile,13000,High School,S,S10,3.25,3.75,3.5,3.25,3,Alone,Together,Doctoral,Master,Father,Business,Public,790000,3,2.5,2,2,3,3,3,2,2.5,4,1.5,2.74,No,No,Medium
59,2020,3,Female,19,19,BKK,Urban,Apartment,80,Wifi,15000,High School,BKK,BKK2,2.75,3,2.25,3,3,Alone,Apart,Doctoral,Doctoral,Mother,Business,Public,2110000,2.5,2.5,4,1,1.5,2,3,2.5,1,2,2.5,2.61,No,No,High
60,2020,2,Male,18,18,BKK,Urban,Home,45,WIFI,13000,Vocational School,BKK,BKK9,2.25,2.25,1.75,2.5,4,Parents,Together,Bachelor,Bachelor,Father,Business,Freelance,750000,2,2.5,3.5,1,1.5,3,2.5,1.5,1.5,1.5,0.5,2.1,No,No,High
61,2020,2,,19,0,E,Urban,Apartment,48,Wifi,15000,High School,BKK,BKK3,2.75,2.5,2.5,3,2,Alone,Apart,Doctoral,Doctoral,Mother,Public,Business,1750000,2.5,3,3,1.5,2.5,2,3,3.5,2,3,1.5,2.75,No,No,Low
62,2020,2,Female,18,18,BKK,Urban,Home,40,WIFI,12000,High School,BKK,BKK3,1.75,3.5,2.75,1.75,3,Parents,Together,Bachelor,Vocational,Mother,Business,Private,570000,1.5,2,2.5,0.5,2.5,0.5,1.5,2,2.5,1,2,1.99,No,No,Medium
63,2020,3,mAlE,18,0,S,Urban,Apartment,69,Mobile,11000,High School,S,S6,2,2.5,2.5,2.5,2,Alone,Apart,Master,Doctoral,Mother,Freelance,Public,600000,1.5,1,1,1,2,1,1,1.5,0,1,2,1.61,No,No,No
64,2020,2,Male,19,19,BKK,Urban,Home,67,Mobile,9000,High School,BKK,BKK1,2.75,3,3.25,3.25,4,Parents,Together,Vocational,Vocational,Father,Freelance,Private,370000,3,2.5,2,2.5,3,1,2.5,3.5,2,3.5,1,2.66,No,Yes,Medium
65,2020,2,Male,18,18,BKK,Urban,Home,15,Wifi,15000,Vocational School,BKK,BKK3,2.75,2.75,2.75,3,3,Parents,Together,Doctoral,Doctoral,Father,Private,Public,1910000,2.5,1.5,1.5,1.5,3,2.5,3,3,1,1.5,2.5,2.44,No,No,No
66,2020,2,,18,,BKK,Urban,Home,26,Wifi,11000,High School,BKK,BKK9,2.25,2.25,2,2.75,3,Parents,Together,Primary,Primary,Father,Private,Freelance,590000,2.5,3,2.5,1,1.5,1.5,2,2.5,3,4,3.5,2.65,No,No,Medium
67,2020,3,Female,18,3,BKK,Urban,Home,10,Wifi,15000,High School,BKK,BKK8,1.75,1.75,1.75,2,4,Parents,Together,Master,Bachelor,Father,Freelance,Freelance,940000,1.5,1,0.5,0.5,1,1.5,2,1.5,1.5,1.5,3.5,2.02,No,No,High
68,2020,2,Male,18,0,S,Rural,Apart ment,42,Mobile,14000,High School,S,S6,2,1.75,1.75,1.75,4,Alone,Together,Bachelor,Vocational,Father,Public,Freelance,770000,2,1.5,2,1.5,2.5,2,2.5,2.5,2.5,1.5,1,2.19,No,No,Medium
69,2020,3,Male,18,0,NE,Urban,Apartment,29,Wifi,15000,High School,BKK,BKK2,2.75,3.25,3,3,3,Alone,Together,Doctoral,Doctoral,Father,Freelance,Private,3010000,3,1.5,1,1.5,2.5,2,3,3,2,3,1.5,2.61,No,No,Medium
70,2020,2,Female,18,3,BKK,Urban,Apartment,572,Wifi,11000,Vocational School,BKK,BKK9,2.25,2.75,1.75,2,2,Alone,Apart,Bachelor,Bachelor,Mother,Freelance,Freelance,930000,2,1,1,1.5,2.5,1,2.5,2,1,2,2.5,2.15,No,No,Medium
71,2020,2,Male,18,18,BKK,Urban,Ho me,29,Wifi,4000,Vocational School,BKK,BKK3,1.75,1.75,1.75,1.75,3,Parents,Together,Primary,Primary,Father,Private,Business,420000,1.5,1.5,1,0.5,2,1.5,1.5,2,1,1.5,2.5,1.96,No,No,High
72,2020,,Female,18,0,E,Rural,Apartment,74,Mobile,10000,High School,E,E2,3,2.75,3,2,3,Alone,Apart,Doctoral,Doctoral,Mother,Private,Freelance,650000,2.5,1.5,1.5,1.5,2.5,2,2,2.5,2,2.5,3.5,2.4,No,No,No
73,2020,1,Male,18,18,BKK,Urban,Ho me,20,Wifi,14000,Vocational School,BKK,BKK4,3.5,3.75,2.25,3.5,4,Parents,Together,Master,Master,Father,Public,Freelance,1680000,3,2.5,3,2.5,3,2.5,3,3.5,1.5,2.5,2.5,2.99,No,No,Medium
74,2020,1,Male,18,3,BKK,Urban,Ho me,9,Wifi,15000,Vocational School,BKK,BKK1,3.5,1.75,3.25,3,3,Parents,Together,Master,Master,Father,Public,Business,800000,3,3.5,3.5,2,3.5,2.5,3,3,2,4,1,3.04,No,Yes,Medium
75,2020,3,Female,18,0,E,Rural,Apart ment,64,Wifi,15000,High School,BKK,BKK3,3,3.25,2.75,1.75,3,Alone,Together,Bachelor,Master,Father,Business,Private,1820000,3,3.5,4,1.5,2.5,3.5,3.5,3.5,3,3.5,1.5,3.21,No,No,No
76,2020,,Female,19,19,BKK,Urban,Home,75,Mobile,5000,Vocational School,BKK,BKK4,3.5,3.5,3.75,1.5,3,Mom or Dad,Apart,Bachelor,Vocational,Father,Public,Public,590000,3,2.5,2,2,3,1,3,3.5,3,4,2,2.96,No,Yes,Medium
77,2020,2,Male,18,0,NE,Rural,Apartment,87,Wifi,79000,High School,BKK,BKK7,1.75,1.75,1.75,2.25,4,Alone,Together,Bachelor,Bachelor,Father,Business,Freelance,1980000,1.5,1,1.5,0.5,1.5,0,2,2,0,1,1,1.52,No,No,Low
78,2020,3,mAlE,,18,BKK,Urban,Home,23,Wifi,11000,High School,BKK,BKK3,2,2.5,2.25,2.25,3,Parents,Together,Master,Bachelor,Father,Business,Business,800000,2,2,2,1,2,1.5,2,2,1,1.5,2,2.01,No,No,Medium
79,2020,2,Male,18,3,BKK,Urban,Home,773,Wifi,12000,High School,BKK,BKK4,2,2,2.25,1.75,4,Parents,Together,High School,Vocational,Father,Business,Freelance,530000,2,1,1,1,2.5,1,3,2,1.5,2.5,3,2.24,No,Yes,High
80,2020,3,Female,18,0,S,Urban,Apartment,71,Wifi,7000,Vocational School,S,S4,2.25,1.75,2.75,2.75,2,Alone,Apart,Doctoral,Master,Mother,Private,Private,830000,2.5,2.5,3,1,1.5,1.5,3.5,2,2.5,2.5,2,2.61,No,No,Medium
81,2020,3,Male,,0,E,Urban,Apartment,80,Mobile,13000,High School,E,E2,2.5,2,2.75,2.5,3,Alone,Apart,Master,Doctoral,Mother,Private,Private,710000,2.5,2,1.5,2,3,3,3,2.5,2,2.5,1.5,2.62,No,No,Low
82,2020,2,Female,,0,S,Urban,Apartment,53,Mobile,84000,High School,S,S2,2,1.75,3.25,1.75,3,Alone,Together,Bachelor,Bachelor,Father,Private,Private,540000,1.5,1.5,1.5,0.5,1.5,1,1,1.5,1,1.5,2,1.9,No,No,No
83,2020,2,Male,19,,BKK,Urban,Home,37,Mobile,11000,Vocational School,BKK,BKK8,2,2,2,2.5,3,Parents,Together,Master,Bachelor,Mother,Private,Business,720000,1.5,0.5,1,0.5,1,1,1.5,2,1,2,3,1.93,No,No,Medium
84,2020,2,,18,18,BKK,,Home,42,Wifi,10000,Vocational School,BKK,BKK6,1.75,1.75,2.25,1.75,3,Parents,Together,Primary,High School,Father,Public,Business,560000,1.5,1,1,0,1,1.5,2,1.5,0,2.5,1.5,1.74,No,No,No
85,2020,2,Male,18,18,BKK,Urban,Home,745,Mobile,5000,Vocational School,BKK,BKK4,1.75,2,1.75,2.75,3,Parents,Together,High School,High School,Father,Public,Freelance,580000,1.5,0.5,0.5,0,1.5,1.5,1.5,1,1,2,3,1.64,No,No,Medium
86,2020,,Male,18,0,E,Urban,Apartment,69,Mobile,15000,High School,E,E5,2.5,2.5,2.75,3,3,Alone,Together,Bachelor,Bachelor,Father,Business,Freelance,1810000,2.5,1.5,2,1.5,1.5,2.5,3,2,2,2.5,1.5,2.27,No,No,Medium
87,2020,3,Female,18,0,E,Rural,Apart ment,19,Mobile,10000,High School,E,E10,3,3.5,2.75,2.5,2,Roommates,Apart,Bachelor,Master,Mother,Freelance,Public,660000,3,4,4,2,3,2.5,3,3,3,2.5,1,2.95,No,No,No
88,2020,3,Male,18,3,BKK,Urban,Home,29,Mobile,8000,High School,BKK,BKK3,3.5,3.75,3.25,3,3,Parents,Together,Doctoral,Doctoral,Father,Private,Freelance,750000,3,2.5,3.5,2,3.5,2.5,3,4,1.5,4,1.5,3.06,No,No,Medium
89,2020,2,Female,18,3,NE,Urban,Apart ment,89,Wifi,10000,High School,NE,NE1,3.25,3.25,3,3.75,3,Alone,Together,Doctoral,Doctoral,Father,Private,Freelance,1120000,3,3,3,2,3.5,2,3.5,3,1.5,3,1.5,2.92,No,No,High
90,2020,1,mAlE,18,,,Urban,Home,11,Wifi,15000,Vocational School,BKK,BKK10,1.75,1.75,1.75,1.75,3,Parents,Together,Doctoral,Doctoral,Mother,Private,Private,1800000,1.5,1.5,2,0.5,1.5,2.5,1,1,0.5,2,3,1.8,No,No,Medium
91,2020,3,Male,19,0,S,Rural,A partment,61,Wifi,15000,High School,BKK,BKK6,2.75,3,1.5,1.75,3,Alone,Together,Bachelor,Vocational,Father,Private,Freelance,880000,2.5,2,3,1.5,1.5,2,2.5,3,1,2.5,3,2.49,No,No,Low
